ts_code,trade_date,buy_elg_amount,circ_mv,fac_1
603338.SH,20240108,0.0,2524650.5247,0.0
603368.SH,20240108,144.59,677238.7375,0.00021349930533174795
603636.SH,20240108,118.08,695954.8349,0.00016966618245703633
603668.SH,20240108,256.23,738812.6493,0.0003468132282829338
603733.SH,20240108,0.0,1067435.0331,0.0
603927.SH,20240108,421.53,1615779.2,0.0002608834177343043
603988.SH,20240108,0.0,259660.8,0.0
688128.SH,20240108,186.01,765314.0,0.00024305056486618564
688296.SH,20240108,150.01,96060.0608,0.0015616271606607183
688737.SH,20240108,0.0,229733.4337,0.0
002004.SZ,20240109,171.82,863960.3253,0.00019887487303347815
002098.SZ,20240109,0.0,245230.0,0.0
002194.SZ,20240109,0.0,472552.7671,0.0
002210.SZ,20240109,0.0,465714.0555,0.0
002272.SZ,20240109,3.02,220966.7489,1.3667214705533463e-05
002300.SZ,20240109,4006.11,621155.7105,0.006449445657957933
002385.SZ,20240109,2377.21,1819286.0439,0.0013066719265893887
002444.SZ,20240109,167.17,2456728.2088,6.80457852037507e-05
002595.SZ,20240109,141.25,1509478.2086,9.357538200634611e-05
002698.SZ,20240109,119.99,1200725.683,9.993123466819357e-05
002747.SZ,20240109,392.57,1313106.7427,0.00029896274783632634
002937.SZ,20240109,0.0,705199.3668,0.0
002979.SZ,20240109,268.57,414896.0774,0.000647318725409574
003001.SZ,20240109,0.0,90356.5062,0.0
003012.SZ,20240109,1.88,964843.595,1.9485023373140595e-06
300063.SZ,20240109,1708.34,370772.8201,0.004607511412350152
300148.SZ,20240109,0.0,290899.1185,0.0
300154.SZ,20240109,0.0,235738.1961,0.0
300223.SZ,20240109,352.78,2396705.1442,0.00014719374256517273
300296.SZ,20240109,366.7,1142253.5577,0.0003210320489072266
300425.SZ,20240109,0.0,320699.0336,0.0
300534.SZ,20240109,122.85,290366.3249,0.00042308625162476614
300690.SZ,20240109,0.0,191344.7563,0.0
300757.SZ,20240109,2445.74,721344.0,0.0033905321178245053
300814.SZ,20240109,52.37,156756.456,0.00033408512374125116
301267.SZ,20240109,472.67,997995.6356,0.0004736193056754486
301277.SZ,20240109,0.0,101280.96,0.0
301315.SZ,20240109,302.93,120208.0,0.0025200485824570743
301383.SZ,20240109,1239.4,170814.68,0.007255816654634134
600561.SH,20240109,0.0,186616.7808,0.0
600592.SH,20240109,1907.27,481062.4995,0.003964703135210813
600601.SH,20240109,468.0,1188533.5868,0.00039376253662299954
600629.SH,20240109,0.0,477052.7718,0.0
600817.SH,20240109,0.0,490581.8243,0.0
600959.SH,20240109,82.49,1525218.8942,5.408404020805632e-05
601188.SH,20240109,11620.16,647412.2569,0.017948625278799535
601336.SH,20240109,526.87,6225036.4299,8.463725569048015e-05
603338.SH,20240109,515.67,2565664.7029,0.0002009888507321835
603368.SH,20240109,132.81,683722.9382,0.00019424534790311648
603636.SH,20240109,413.22,694773.2477,0.0005947551972790217
603668.SH,20240109,377.37,748843.7538,0.0005039369001678118
603733.SH,20240109,0.0,1066729.0576,0.0
603927.SH,20240109,111.67,1613404.8,6.921387614565173e-05
603988.SH,20240109,0.0,260836.8,0.0
688128.SH,20240109,0.0,763696.0,0.0
688296.SH,20240109,0.0,97861.1869,0.0
688737.SH,20240109,0.0,228025.9074,0.0
002004.SZ,20240110,0.0,867724.8583,0.0
002098.SZ,20240110,0.0,243798.0,0.0
002194.SZ,20240110,0.0,463396.7393,0.0
002210.SZ,20240110,0.0,465714.0555,0.0
002272.SZ,20240110,0.0,219625.5243,0.0
002300.SZ,20240110,1056.7,617544.3401,0.0017111321914615666
002385.SZ,20240110,1335.21,1822593.8367,0.0007325877949952578
002444.SZ,20240110,1028.69,2412981.4084,0.0004263149299115835
002595.SZ,20240110,132.74,1514278.6693,8.765889838583096e-05
002698.SZ,20240110,402.84,1183055.5783,0.0003405080939467474
002747.SZ,20240110,313.88,1302878.8292,0.00024091265662266545
002937.SZ,20240110,0.0,689799.463,0.0
002979.SZ,20240110,279.58,405227.3443,0.000689933697546876
003001.SZ,20240110,0.0,89369.0034,0.0
003012.SZ,20240110,0.0,969510.3113,0.0
300063.SZ,20240110,1016.63,352015.3418,0.0028880275353953336
300148.SZ,20240110,214.2,282203.7644,0.000759026019569284
300154.SZ,20240110,0.0,228391.3418,0.0
300223.SZ,20240110,558.14,2372588.4026,0.00023524518597004118
300296.SZ,20240110,273.14,1121333.1629,0.00024358505485881047
300425.SZ,20240110,0.0,318009.7335,0.0
300534.SZ,20240110,22.49,286755.5519,7.84291702496589e-05
300690.SZ,20240110,0.0,188604.9975,0.0
300757.SZ,20240110,987.11,716976.0,0.0013767685389748053
300814.SZ,20240110,6.05,152438.796,3.968805946223821e-05
301267.SZ,20240110,364.04,1002270.411,0.0003632153518697461
301277.SZ,20240110,0.0,99579.6,0.0
301315.SZ,20240110,152.91,110264.0,0.00138676267866212
301383.SZ,20240110,1081.58,162300.1,0.00666407476027433
600561.SH,20240110,0.0,184056.4896,0.0
600592.SH,20240110,1081.13,445901.7852,0.0024245922216146357
600601.SH,20240110,165.41,1146830.6539,0.0001442322800123053
600629.SH,20240110,136.42,470440.1591,0.0002899837468403747
600817.SH,20240110,0.0,485306.751,0.0
600959.SH,20240110,294.94,1500215.3058,0.00019659844747599162
601188.SH,20240110,2258.29,619778.8069,0.003643703164513611
601336.SH,20240110,500.67,6106166.3875,8.199416265906658e-05
603338.SH,20240110,280.34,2592501.1405,0.0001081349572505617
603368.SH,20240110,0.0,672195.4703,0.0
603636.SH,20240110,0.0,672323.0918,0.0
603668.SH,20240110,860.16,741865.5942,0.0011594553066281018
603733.SH,20240110,0.0,1065317.1065,0.0
603927.SH,20240110,1139.73,1592628.8,0.0007156281488818989
603988.SH,20240110,0.0,259190.4,0.0
688128.SH,20240110,2.99,754797.0,3.961329999986752e-06
688296.SH,20240110,0.0,96720.4737,0.0
688737.SH,20240110,0.0,228666.2298,0.0
002004.SZ,20240111,195.45,873371.6579,0.00022378788941921306
002098.SZ,20240111,0.0,246662.0,0.0
002194.SZ,20240111,219.75,476622.1128,0.00046105708085812506
002210.SZ,20240111,1441.06,492326.2872,0.0029270425680410425
002272.SZ,20240111,0.0,221302.055,0.0
002300.SZ,20240111,2686.34,636323.4662,0.004221657918797652
002385.SZ,20240111,1964.25,1842440.5935,0.0010661130713954822
002444.SZ,20240111,951.93,2503928.7039,0.00038017456268515915
002595.SZ,20240111,765.25,1531880.3587,0.0004995494561007456
002698.SZ,20240111,0.0,1187262.7461,0.0
002747.SZ,20240111,394.71,1332775.8071,0.00029615633619494737
002937.SZ,20240111,36.25,693286.2337,5.228720582916718e-05
002979.SZ,20240111,57.37,407590.8124,0.00014075390871101981
003001.SZ,20240111,0.0,90356.5062,0.0
003012.SZ,20240111,0.0,973010.3486,0.0
300063.SZ,20240111,1632.43,369522.3215,0.004417676294556403
300148.SZ,20240111,327.88,290899.1185,0.0011271261380601263
300154.SZ,20240111,0.0,232863.3401,0.0
300223.SZ,20240111,748.25,2411258.3503,0.00031031515138429917
300296.SZ,20240111,371.77,1140161.5182,0.00032606783693850855
300425.SZ,20240111,143.59,322716.0086,0.0004449422903528065
300534.SZ,20240111,0.0,292472.6091,0.0
300690.SZ,20240111,0.0,193426.973,0.0
300757.SZ,20240111,490.82,740480.0,0.0006628403197925669
300814.SZ,20240111,130.09,157416.804,0.0008264047845870381
301267.SZ,20240111,0.0,1024959.6034,0.0
301277.SZ,20240111,265.41,102431.88,0.0025910878527271005
301315.SZ,20240111,146.13,114818.0,0.0012727098538556673
301383.SZ,20240111,829.37,165206.1,0.005020214144635095
600561.SH,20240111,0.0,186901.2576,0.0
600592.SH,20240111,850.22,453493.3031,0.0018748237166636122
600601.SH,20240111,567.18,1155171.2405,0.0004909921404851664
600629.SH,20240111,0.0,477997.4307,0.0
600817.SH,20240111,0.0,495329.3904,0.0
600959.SH,20240111,493.01,1520218.1765,0.00032430213479953086
601188.SH,20240111,1953.85,615831.1712,0.0031727039672135387
